category,Max VERSTAPPEN - 1:29.179
0,297.2
4,297.6
8,298.1
12,299
16,299.9
20,300.8
24,301.1
28,301.3
32,301.5
36,301.6
40,301.8
44,302
48,302.8
52,303.6
56,304.5
60,305.3
64,306.2
68,307
72,307.4
76,307.8
80,308.2
84,308.6
88,309
92,309.3
96,309.7
100,310.1
104,310.3
108,310.4
112,310.6
116,310.8
120,311.1
124,311.6
128,312.1
132,312.6
136,313.1
140,313.6
144,314.2
148,314.7
152,315
156,315
160,315
164,315
168,315.2
172,315.4
176,315.5
180,315.7
184,315.9
188,316.1
192,316.4
196,316.6
200,316.8
204,317
208,317.3
212,317.5
216,317.7
220,318
224,318.1
228,318.3
232,318.5
236,318.6
240,318.8
244,318.9
248,319
252,319
256,319
260,319
264,319
268,319
272,319
276,319
280,319
284,319
288,319
292,319
296,319.1
300,319.5
304,319.8
308,320.2
312,320.6
316,321
320,320.9
324,320.7
328,320.5
332,320.4
336,320.2
340,320.1
344,320.1
348,320.3
352,320.5
356,320.7
360,320.9
364,321
368,321
372,321
376,321
380,321
384,321
388,321
392,321
396,321
400,321
404,321
408,321
412,321
416,321
420,321
424,321
428,321.2
432,321.3
436,321.5
440,321.7
444,321.8
448,322
452,321.9
456,321.7
460,321.6
464,321.5
468,321.3
472,321.2
476,321
480,321.2
484,321.5
488,321.8
492,322
496,322
500,322
504,322
508,322
512,322
516,322
520,322
524,322
528,322
532,322
536,322
540,322
544,322
548,322
552,322
556,321.8
560,321.6
564,321.4
568,321.3
572,321.1
576,320.2
580,318.8
584,317.5
588,316.2
592,314.9
596,311.9
600,305.3
604,298.7
608,291.9
612,284.9
616,277.9
620,270.9
624,263.9
628,252.7
632,241
636,229.4
640,221
644,212.5
648,204.1
652,195.3
656,186.1
660,177.4
664,170.2
668,162.8
672,155.9
676,149.5
680,143
684,134.7
688,123.2
692,115.5
696,110.6
700,105.4
704,99.6
708,92.5
712,85.3
716,79.1
720,76.5
724,73.4
728,71.3
732,71.5
736,72.8
740,75.5
744,77.5
748,79.4
752,84.1
756,89.7
760,95.9
764,103.3
768,110.4
772,119.6
776,125.4
780,129.5
784,134.6
788,139.7
792,144.3
796,148
800,151.6
804,155.3
808,158.9
812,162.9
816,166.5
820,169.7
824,172.3
828,174.4
832,176.4
836,178.8
840,181.2
844,183.7
848,186.8
852,189.8
856,192.9
860,196
864,199.3
868,201.7
872,203.1
876,204.5
880,206
884,207.5
888,209
892,210.5
896,212.6
900,215.2
904,217.3
908,218.5
912,219.7
916,220.9
920,222.1
924,224.1
928,226.1
932,227.7
936,229
940,230.3
944,231.7
948,232.9
952,234
956,235.2
960,236.3
964,237.5
968,238.8
972,240.3
976,241.8
980,242.9
984,244
988,245.1
992,246.1
996,247.2
1000,248.4
1004,249.5
1008,250.7
1012,251.9
1016,253.1
1020,254.3
1024,255.6
1028,256.8
1032,257.2
1036,257.4
1040,257.7
1044,257.9
1048,258.7
1052,260.1
1056,261.5
